order,year,month,day,hour,minute,temperature
0,2022,2,11,15,7,33.9
10,2022,2,11,15,7,34.5
11,2022,2,11,15,7,34.4
12,2022,2,11,15,7,34.8
13,2022,2,11,15,7,34.4
14,2022,2,11,15,7,34.3
15,2022,2,11,15,7,34.4
16,2022,2,11,15,7,35.1
17,2022,2,11,15,7,34.6
1,2022,2,11,15,7,31.1
2,2022,2,11,15,7,34.9
3,2022,2,11,15,7,34.5
4,2022,2,11,15,7,34.4
5,2022,2,11,15,7,34.5
6,2022,2,11,15,7,34.4
7,2022,2,11,15,7,34.2
8,2022,2,11,15,7,34.5
9,2022,2,11,15,7,34.5
order,year,month,day,hour,minute,temperature
0,2022,2,11,15,7,33.9
10,2022,2,11,15,7,34.5
11,2022,2,11,15,7,34.4
12,2022,2,11,15,7,34.8
13,2022,2,11,15,7,34.4
14,2022,2,11,15,7,34.3
15,2022,2,11,15,7,34.4
16,2022,2,11,15,7,35.1
17,2022,2,11,15,7,34.6
1,2022,2,11,15,7,31.1
2,2022,2,11,15,7,34.9
3,2022,2,11,15,7,34.5
4,2022,2,11,15,7,34.4
5,2022,2,11,15,7,34.5
6,2022,2,11,15,7,34.4
7,2022,2,11,15,7,34.2
8,2022,2,11,15,7,34.5
9,2022,2,11,15,7,34.5
